"Designator","MPN","Quantity Per PCB","Link"
"C213,C214","CL05C100JB5NNNC","2","https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949"
"C211,C212","0402CG200J500NT","2","https://jlcpcb.com/partdetail/Yageo-CC0805KRX7R9BB221/C107145"
"C201,C205,C206,C207,C208,C209,C210,C215,C403,C404,C405,C406,C407,C408,C503","CL05B104KB54PNC","15","https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331"
"C401,C402","CL21B105KBFNNNE","2","https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323"
"C501","RVT1H100M0505","1","https://jlcpcb.com/partdetail/Roqang-RVT1H100M0505/C72487"
"C502","RVT1H220M0605","1","https://jlcpcb.com/partdetail/Roqang-RVT1H220M0605/C72505"
"D201,D501,D502","1N4148WS","3","https://jlcpcb.com/partdetail/2485-1N4148WS/C2128"
"D202,D203,D204,D205,D206,D207","ESD9B3.3ST5G","6","https://jlcpcb.com/partdetail/Onsemi-ESD9B33ST5G/C96512"
"D402","NUP2105LT1G","1","https://jlcpcb.com/partdetail/TechPublic-NUP2105LT1G/C2890118"
"FB101,FB102,FB401","GZ2012D101TF","3","https://jlcpcb.com/partdetail/Sunlord-GZ2012D101TF/C1015"
"J201","1040310811","1","https://jlcpcb.com/partdetail/Molex-1040310811/C585350"
"Q301,Q302,Q303,Q304,Q305,Q306,Q501,Q502","2N7002","8","https://jlcpcb.com/partdetail/9040-2N7002/C8545"
"R201","1206W4F220JT5E","1","https://jlcpcb.com/partdetail/18646-1206W4F220JT5E/C17958"
"R301,R302,R303,R304,R320,R321,R501,R503","0402WGF1000TCE","8","https://jlcpcb.com/partdetail/25819-0402WGF1000TCE/C25076"
"R402","1206W4F1200T5E","1","https://jlcpcb.com/partdetail/18597-1206W4F1200T5E/C17909"
"R401","0402WGF1001TCE","1","https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702"
"R202,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R322,R323,R502,R504","0402WGF1002TCE","20","https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744"
"R205","0402WGF1003TCE","1","https://jlcpcb.com/partdetail/26484-0402WGF1003TCE/C25741"
"R203,R204","0402WGF1004TCE","2","https://jlcpcb.com/partdetail/26826-0402WGF1004TCE/C26083"
"U403","CH340N","1","https://jlcpcb.com/partdetail/wch_jiangsu_Qin_heng-CH340N/C506813"
"U405","SP3232EEY-L/TR","1","https://jlcpcb.com/partdetail/Maxlinear-SP3232EEY_LTR/C13482"
"U301","PCA9535PW,118","1","https://jlcpcb.com/partdetail/NxpSemicon-PCA9535PW118/C255606"
"U402","SP3485EN-L/TR","1","https://jlcpcb.com/partdetail/Maxlinear-SP3485EN_LTR/C8963"
"U202","SRV05-4","1","https://jlcpcb.com/partdetail/TechPublic-SRV054/C558418"
"U201","STM32G474CET6","1","https://jlcpcb.com/partdetail/Stmicroelectronics-STM32G474CET6/C730125"
"U101,U404","USBLC6-2SC6","2","https://jlcpcb.com/partdetail/TechPublic-USBLC62SC6/C2827654"
"U501","AMSRB1-783.3JZ","1","https://www.tme.eu/en/details/amsrb1-783.3jz/dc-dc-converters/aimtec/"
"U401","XC6206P332MR","1","https://jlcpcb.com/partdetail/TorexSemicon-XC6206P332MR/C5446"
"Y202","Q13FC1350000400","1","https://jlcpcb.com/partdetail/SeikoEpson-Q13FC1350000400/C32346"
"Y201","X50328MSB2GI","1","https://jlcpcb.com/partdetail/YangxingTech-X50328MSB2GI/C115962"
