"Comment","Designator","Footprint","LCSC Part #"
"10p","C213,C214","C_0402_1005Metric","C32949"
"20p","C211,C212","C_0402_1005Metric","C1554"
"100n","C201,C205,C206,C207,C208,C209,C210,C215,C403,C404,C405,C406,C407,C408,C503","C_0402_1005Metric","C307331"
"1µ","C401,C402","C_0805_2012Metric","C28323"
"10µ","C501","CP_Elec_5x5.4","C72487"
"22µ","C502","CP_Elec_6.3x5.4","C72505"
"1N4148WS","D201,D501,D502","D_SOD-323","C2128"
"ESD9B3.3ST5G","D202,D203,D204,D205,D206,D207","D_SOD-923","C96512"
"LED","D401","LED_0603_1608Metric","C72043"
"NUP2105L","D402","SOT-23","C2890118"
"ZMM3V3","D301,D302,D303,D304","D_MiniMELF","C8056"
"FerriteBead_Small","FB101,FB102,FB401","L_0805_2012Metric","C1015"
"Micro_SD_Card_Det","J201","microSD_HC_Molex_104031-0811","C585350"
"control","J102","MTJ-88GX1-FSD-PG6","C125076"
"2N7002","Q301,Q302,Q303,Q304,Q305,Q306,Q501,Q502","SOT-23","C8545"
"22","R201","R_1206_3216Metric","C17958"
"100","R301,R302,R303,R304,R320,R321,R501,R503","R_0402_1005Metric","C25076"
"120","R402","R_1206_3216Metric","C17909"
"1k","R401","R_0402_1005Metric","C11702"
"10k","R202,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R322,R323,R502,R504","R_0402_1005Metric","C25744"
"100k","R205","R_0402_1005Metric","C25741"
"1M","R203,R204","R_0402_1005Metric","C26083"
"CH330N","U403","SOIC-8_3.9x4.9mm_P1.27mm","C506813"
"ICL3232","U405","TSSOP-16_4.4x5mm_P0.65mm","C13482"
"PCA9535PW","U301","TSSOP-24_4.4x7.8mm_P0.65mm","C255606"
"SP3485CN","U402","SOIC-8_3.9x4.9mm_P1.27mm","C8963"
"SRV05-4","U202","SOT-23-6","C558418"
"STM32G474CETx","U201","LQFP-48_7x7mm_P0.5mm","C730125"
"USBLC6-2SC6","U101,U404","SOT-23-6","C2827654"
"XC6206P332MR","U401","SOT-23","C5446"
"32k","Y202","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"8MHz","Y201","Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
